Feature,Tipo,Métrica,Valor,|Valor|,Hipótese de Negócio,Veredito
velocidade_lojista_dias,Numérica,Pearson,0.2143,0.2143,Lojista lento ao despachar causa cascata de atraso?,✅ Forte candidata
customer_state,Categórica,Cramér's V,0.1336,0.1336,Destinos remotos (Norte/Nordeste) sofrem mais atrasos?,✅ Forte candidata
distancia_haversine_km,Numérica,Pearson,0.0753,0.0753,Distância geográfica é o fator dominante de atraso?,⚠️ Avaliar no treino
seller_state,Categórica,Cramér's V,0.0507,0.0507,Concentração de vendedores em SP afeta rotas longas?,⚠️ Avaliar no treino
freight_value,Numérica,Pearson,0.0467,0.0467,Frete alto indica rotas difíceis?,❌ Fraca (mas testar)
product_category_name,Categórica,Cramér's V,0.0324,0.0324,Categorias volumosas (móveis) atrasam mais?,❌ Fraca (mas testar)
product_weight_g,Numérica,Pearson,0.0263,0.0263,Pacotes pesados geram gargalos logísticos?,❌ Fraca (mas testar)
price,Numérica,Pearson,0.023,0.023,Produtos caros recebem prioridade logística?,❌ Fraca (mas testar)
volume_cm3,Numérica,Pearson,0.0222,0.0222,Pacotes volumosos complicam a alocação em caminhões?,❌ Fraca (mas testar)
frete_ratio,Numérica,Pearson,0.0185,0.0185,Frete desproporcional ao preço indica rota crítica?,❌ Fraca (mas testar)
dia_semana_compra,Numérica,Pearson,-0.0106,0.0106,Compras no fim de semana acumulam nos pátios?,❌ Fraca (mas testar)
