Feature,Pearson,Spearman,PointBiserial,p_valor_pb,CramersV,Forca_Max,Veredito
velocidade_transportadora_dias,0.5641240836013294,0.3378,0.5641,0.0,0.0,0.5641240836013294,FORTE
velocidade_lojista_dias,0.21413136722111636,0.1319,0.2141,0.0,0.0,0.21413136722111636,FORTE
customer_state,,,,0.0,0.1336,0.1336,FORTE
historico_atraso_seller,0.11635590829369737,0.1033,0.1164,0.0,0.0,0.1164,FORTE
customer_regiao,,,,1.7694233666616338e-143,0.0777,0.0777,MODERADA
customer_lng,0.07565406431061729,,,,0.0,0.07565406431061729,MODERADA
distancia_haversine_km,0.07543547167549029,0.0679,0.0754,9.078568298127152e-139,0.0,0.07543547167549029,MODERADA
rota_interestadual,0.06505731158639329,0.0651,0.0651,1.2096289764012452e-103,0.0,0.0651,MODERADA
freight_value,0.04673110357991083,0.0637,0.0467,2.518206070969454e-54,0.0,0.0637,MODERADA
customer_lat,0.06152662224384236,,,,0.0,0.06152662224384236,MODERADA
seller_state,,,,3.567490832164625e-52,0.0507,0.0507,MODERADA
mes_compra,-0.030624701070789503,-0.0394,-0.0306,2.7534972781052654e-24,0.0,0.0394,FRACA
valor_total_pedido,0.025974792644000357,0.0341,0.026,6.487073298731039e-18,0.0,0.0341,FRACA
product_category_name,,,,4.6953989785890856e-12,0.0323,0.0323,FRACA
seller_regiao,,,,6.569504289503712e-20,0.0289,0.0289,FRACA
price,0.022950885912550872,0.0279,0.023,2.5485487102181202e-14,0.0,0.0279,FRACA
total_itens_pedido,-0.01124967472245077,-0.0266,-0.0112,0.00018818209539428777,0.0,0.0266,FRACA
product_weight_g,0.026361364875245246,0.02,0.0264,2.0959505982009154e-18,0.0,0.0264,FRACA
seller_lat,0.023500342221351313,,,,0.0,0.023500342221351313,FRACA
volume_cm3,0.022229124156021775,0.0129,0.0222,1.586162422749506e-13,0.0,0.022229124156021775,FRACA
product_length_cm,0.019443338105698312,,,,0.0,0.019443338105698312,FRACA
frete_ratio,0.018521484333375807,0.0067,0.0185,7.816291011973443e-10,0.0,0.018521484333375807,FRACA
product_height_cm,0.014203948720865243,,,,0.0,0.014203948720865243,FRACA
ticket_medio_alto,0.011666618904290415,0.0117,0.0117,0.00010759638876743214,0.0,0.0117,FRACA
dia_semana_compra,-0.010563225659689347,-0.0108,-0.0106,0.0004540548822668789,0.0,0.0108,FRACA
product_width_cm,0.007639786455531811,,,,0.0,0.007639786455531811,FRACA
compra_fds,-0.0067985478067202005,-0.0068,-0.0068,0.02402307777298243,0.0,0.0068,FRACA
product_photos_qty,-0.004391138049652786,,,,0.0,0.004391138049652786,FRACA
product_name_lenght,0.003849823090790651,,,,0.0,0.003849823090790651,FRACA
product_description_lenght,0.00015156616757918117,,,,0.0,0.00015156616757918117,FRACA
seller_lng,-0.00014435250479005152,,,,0.0,0.00014435250479005152,FRACA
